"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19973]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / CHICHI-JIMA/TITI-ZIMA","BONIN","27.3","27.3","142.3","142.3","SAE","","","s_92BON04 [19973]","BONINITE [19973]","","","","","","","","","VOL","","","","","WR [19973] ","","","","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00085","0.00086","0.01505","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00004","0.00002","0.00729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001367",
"[4812]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI","CAPE VOGEL PENINSULA","-9.8","-9.8","149.9","149.9","SAE","","","s_44264 [4812]","BONINITE [4812]","","","","","","","","","VOL","","","","","GL [4812] ","55.71","0.2","","11.73","","","","10.04","7.93","9.98","","","0.17","1.04","0.02","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","115","6.82","54.4","2.45","","","","","","","","","","","","0.39","52","4.34","8.67","","4.35","1.06","0.38","1.2","","1.25","","0.72","","0.85","0.15","1.23","0.19","","","","","","","","","1.12","","0.78","0.21","","","","","","","","","","","","","","","","","","","","","","","","","103542",
"[4812]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI","CAPE VOGEL PENINSULA","-9.8","-9.8","149.9","149.9","SAE","","","s_3 [4812]","BONINITE [4812]","","","","","","","","","VOL","","","","","GL [4812] ","59.95","0.46","","16.38","","","","7.95","7.72","1.96","","","0.28","1.21","0.12","1.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103543",
"[4679]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 786","HOLE 786B","31.875","31.875","141.2267","141.2267","SAQ","-3082.4","-3082.4","s_IB40 [4679]","BONINITE [4679]","","","","","","","","","VOL","","","","","WR [4679] ","52.04","0.32","","13.3","","","","7.86","12.7","10.2","0.16","","0.29","2.23","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187","961","","","47","349","34","187","","","","","","7","131","8","23","0.4","","0.00025","","0.00368","","","","","","","","0.3","25","1.3","3","0.6","2.8","0.7","0.3","1.2","0.2","1.3","0.3","0.8","0.2","0.9","0.1","0.7","0.02","","0.00034","0.00005","0.00011","0.00154","","","","0.9","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","106257",
"[4679]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 786","HOLE 786B","31.875","31.875","141.2267","141.2267","SAQ","-3082.4","-3082.4","s_IB5 [4679]","BONINITE [4679]","","","","","","","","","VOL","","","","","WR [4679] ","52.32","1.3","","15","","","","8.01","11.34","7.99","0.11","","0.37","2.56","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237","333","","","40.7","170","63","237","","","","","","6","147","13","34","0.4","","0.00012","","0.00119","","","","","","","","0","18","2.1","4.2","0.7","4","1","0.4","1.6","0.3","1.7","0.4","1.1","0.2","1.2","0.2","1","0.02","","0.00026","0.00003","0.0001","0.00189","","","","1.3","","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","","","106258",
"[4679]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 786","HOLE 786B","31.875","31.875","141.2267","141.2267","SAQ","-3082.4","-3082.4","s_IB67 [4679]","BONINITE [4679]","","","","","","","","","VOL","","","","","WR [4679] ","53","0.21","","12.46","","","","6.78","6.7","13.08","0.14","","0.25","2.76","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","786","","","38.5","296","56","202","","","","","","3.1","136","6.5","27","0.4","","0.00018","","0.00349","","","","","","","","","7.6","1.2","2.6","0.4","2","0.6","0.2","0.8","0.2","1","0.2","0.7","0.1","0.8","0.1","0.7","0.03","","0.0002","0.00003","0.00008","0.00602","","","","0.7","","0.2","0.1","","","","","","","","","","","","","","","","","","","","","","","","","106259",
"[20486]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / CHICHI-JIMA/TITI-ZIMA","","27.05675","27.05675","142.18772","142.18772","SAE","","","s_BT-1 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000735","0.0000082","","","","","","","","","","","","","","","","","","","","","","","","0.2304","","435","","","","","","","","1072618",
"[20486]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / CHICHI-JIMA/TITI-ZIMA","","27.080394","27.080394","142.230022","142.230022","SAE","","","s_IS-2 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000247","0.0000462","","","","","","","","","","","","","","","","","","","","","","","","0.1386","","25.8","","","","","","","","1072619",
"[20486]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / CHICHI-JIMA/TITI-ZIMA","","27.103647","27.103647","142.19375","142.19375","SAE","","","s_TH-8 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000497","0.0000144","","","","","","","","","","","","","","","","","","","","","","","","0.1628","","167","","","","","","","","1072620",
"[20486]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / ANI(E)JIMA","","27.11892","27.11892","142.20569","142.20569","SAE","","","s_AN-1 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000214","","","","","","","","","","","","","","","","","","","","","","","","0.1604","","","","","","","","","","1072621",
